,plan_name,cover,Facility,No of Hospitals,Monthly charge,Annually charge
0,Care Advantage,₹ 25L,Cashless Hospitals,270,"₹1,244/month","₹ 14,922 annually"
1,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,536/month","₹ 18,426 annually"
2,Health Optima,₹ 5L,Cashless Hospitals,300,"₹1,023/month","₹ 12,266 annually"
3,Optima Restore,₹ 5L,Cashless Hospitals,410,"₹1,160/month","₹ 13,917 annually"
4,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹984/month,"₹ 11,804 annually"
5,Activ Assure - Diamond,₹ 5L,Cashless Hospitals,278,₹968/month,"₹ 11,610 annually"
6,Care Advantage,₹ 25L,Cashless Hospitals,270,"₹1,244/month","₹ 14,922 annually"
7,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,536/month","₹ 18,426 annually"
8,Health Companion with Recharge (Money Saver),₹ 30L,Cashless Hospitals,256,"₹1,266/month","₹ 15,187 annually"
9,Health ReAssure,₹ 5L,Cashless Hospitals,256,"₹1,046/month","₹ 12,552 annually"
10,Health Companion,₹ 5L,Cashless Hospitals,256,"₹1,063/month","₹ 12,754 annually"
11,Health Pulse Classic,₹ 5L,Cashless Hospitals,256,₹897/month,"₹ 10,761 annually"
12,Health Pulse Enhanced,₹ 5L,Cashless Hospitals,256,"₹1,194/month","₹ 14,318 annually"
13,Go Active,₹ 5L,Cashless Hospitals,256,₹911/month,"₹ 10,932 annually"
14,Arogya Sanjeevani,₹ 5L,Cashless Hospitals,256,₹691/month,"₹ 8,291 annually"
15,Health ReAssure (Direct),₹ 5L,Cashless Hospitals,256,₹994/month,"₹ 11,924 annually"
16,Max 1Cr Super Saver (10+90),₹ 1Cr,Cashless Hospitals,256,"₹1,460/month","₹ 17,513 annually"
17,Health Optima,₹ 5L,Cashless Hospitals,300,"₹1,023/month","₹ 12,266 annually"
18,Optima Restore,₹ 5L,Cashless Hospitals,410,"₹1,160/month","₹ 13,917 annually"
19,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹984/month,"₹ 11,804 annually"
20,Activ Assure - Diamond,₹ 5L,Cashless Hospitals,278,₹968/month,"₹ 11,610 annually"
